GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
docker-maven-plugin,com.spotify.docker,RemoveImageMojo,93,112,10,8,13,18,6,5,0,2
docker-maven-plugin,com.spotify.docker,CompositeImageName,0,100,0,16,0,26,0,13,0,5
docker-maven-plugin,com.spotify.docker,BuildMojo,361,1432,51,125,69,268,50,62,5,19
docker-maven-plugin,com.spotify.docker,TagMojo,7,107,2,8,1,21,2,6,0,3
docker-maven-plugin,com.spotify.docker,Utils,44,279,4,24,8,60,5,16,1,6
docker-maven-plugin,com.spotify.docker,HelpMojo,889,0,108,0,157,0,70,0,16,0
docker-maven-plugin,com.spotify.docker,DockerBuildInformation,31,52,5,1,8,19,3,9,0,9
docker-maven-plugin,com.spotify.docker,Git,77,58,13,5,13,17,8,6,0,5
docker-maven-plugin,com.spotify.docker,Utils.DigestExtractingProgressHandler,0,21,1,1,0,8,1,3,0,3
docker-maven-plugin,com.spotify.docker,AbstractDockerMojo,98,253,16,28,25,76,15,22,1,14
docker-maven-plugin,com.spotify.docker,PushMojo,0,19,0,0,0,4,0,2,0,2
docker-maven-plugin,com.spotify.docker,AbstractDockerMojo.SupplierToClassNameFunction,0,4,0,0,0,1,0,1,0,1
